GENE,EXPRESSION
YHR051W,-0.034
YHR124W,-0.090
YKL181W,-0.167
YGR072W,0.245
YHL020C,0.174
YGR145W,0.387
YGL041C,0.285
YGR218W,-0.018
YOR202W,-0.432
YCR005C,0.085
YER187W,0.159
YBR026C,0.276
YMR244W,0.078
YMR317W,-0.181
YAR047C,-0.234
YIR031C,0.289
YDL177C,-0.002
YLR338W,-0.216
YGR073C,-0.125
YGR146C,-0.189
YOR130C,-0.025
YLR193C,0.124
YMR318C,0.068
YLR266C,-0.058
YGL114W,-0.009
YLR339C,-0.239
YFL062W,-0.192
YJR010W,-0.253
YHR052W,0.101
YKL182W,-0.140
YHR125W,-0.513
YHL021C,-0.130
YGR219W,-0.070
YGL042C,-0.075
YOR203W,-0.492
YCR006C,-0.067
YER188W,-0.322
YMR172W,0.162
YNL120C,-0.053
YBR027C,-0.210
YMR245W,0.095
YJR011C,-0.112
YIR032C,0.181
YHR053C,-0.656
YHR126C,-0.238
YPR110C,-0.120
YGR147C,0.158
YOR131C,-0.037
YAL016W,0.053
YLR194C,0.046
YMR319C,-0.182
YGL115W,-0.111
YFL063W,0.128
YDL178W,-0.131
YKL183W,-0.116
YGR074W,-0.074
YHL022C,-0.402
YDR493W,0.062
YOR204W,-0.033
YCR007C,-0.019
YFL064C,0.032
YER189W,0.211
YNL121C,0.162
YBR028C,0.004
YMR173W,-0.873
YMR246W,-0.001
YJR012C,0.124
YLR267W,0.199
YHR054C,-0.071
YGR075C,-0.075
YGR148C,-0.202
YOR205C,0.069
YAL017W,-0.122
YIL001W,-0.044
YMR174C,-0.070
YLR195C,-0.003
YGL043W,0.156
YGL116W,0.006
YOL100W,-0.119
YLR287C-A,-0.289
YDL179W,0.189
YIR033W,0.079
YAL018C,-0.227
YIL002C,-0.013
YHR127W,0.159
YKL184W,-0.030
YHL023C,0.127
YPR111W,0.148
YDR494W,0.193
YGL044C,0.162
YOR132W,0.079
YFL065C,0.003
YOL101C,-0.081
YBR029C,-0.032
YNL122C,-0.074
YIR034C,-0.085
YLR268W,-0.123
YHR055C,-0.867
YPR112C,0.227
YGR076C,0.145
YOR060C,-0.022
YDR495C,-0.011
YLR269C,0.015
YGL117W,-0.356
YCR008W,0.151
YJR013W,-0.048
YML070W,-0.053
YHR128W,-0.091
YKL185W,-0.076
YBR240C,0.009
YGR149W,-0.610
YOR133W,-0.260
YOR206W,0.145
YGL118C,0.069
YFL066C,0.042
YOL102C,-0.017
YCR009C,-0.145
YNL050C,0.301
YMR175W,0.018
YLR196W,0.130
YIR035C,-0.464
YHR056C,-0.112
YKL186C,0.157
YHR129C,-0.270
YGR077C,-0.064
YDR496C,0.208
YOR207C,-0.044
YAL019W,0.070
YIL003W,-0.071
YHL024W,0.154
YGL045W,-0.279
YNL123W,-0.049
YJR014W,0.070
YIL004C,-0.093
YPR040W,0.210
YBR241C,-0.056
YPR113W,-0.495
YOR061W,0.080
YOR134W,-0.363
YML072C,-0.034
YLR197W,0.020
YIR036C,0.047
YHR057C,0.166
YKL187C,0.999
YGR078C,-0.004
YOR062C,0.168
YOR135C,-0.092
YDR497C,-0.117
YHL025W,-0.001
YLR198C,0.104
YGL046W,-0.123
YGL119W,-0.072
YOL030W,-0.070
YFL067W,0.053
YOL103W,-0.075
YNL124W,0.161
YJR015W,-0.149
YDR200C,0.006
YPR041W,-0.059
YHL026C,-0.016
YPR114W,-0.137
YOR208W,-0.274
YOL031C,-0.414
YOL104C,-0.258
YNL125C,0.496
YMR177W,-0.154
YJR016C,-0.083
YML073C,-0.408
YHR058C,0.122
YKL188C,0.245
YDR498C,0.075
YOR209C,-0.160
YIL005W,0.077
YBR242W,0.021
YLR199C,0.078
YPL010W,-0.226
YGL047W,-0.158
YFL068W,0.026
YNL052W,0.103
YIR037W,-0.158
YBR170C,0.128
YGR079W,0.153
YPR115W,-0.047
YBR243C,-0.000
YPL011C,0.072
YOR063W,-0.406
YGL048C,0.153
YOR136W,-0.064
YOL105C,-0.032
YMR178W,-0.077
YML074C,0.118
YJR017C,-0.070
YIR038C,-0.181
YOR064C,0.243
YOR137C,-0.253
YDR201W,0.133
YIL006W,-0.077
YHL027W,-0.001
YOL032W,0.100
YNL053W,0.021
YNL126W,0.207
YGR290W,-0.044
YDR202C,0.118
YIL007C,0.057
YHR059W,0.043
YMR251W-A,-0.054
YKL189W,0.033
YPR043W,-0.292
YPR116W,-0.092
YDR499W,0.277
YGL049C,0.075
YMR179W,0.003
YML075C,-0.026
YGR291C,-0.345
YIR039C,-0.217
YOR138C,0.097
YBR171W,0.104
YBR244W,-0.050
YHL028W,-0.989
YPL012W,0.142
YOL033W,-0.024
YOL106W,-0.261
YNL054W,0.103
YNL127W,0.212
YJR018W,-0.127
YDR130C,0.099
YBR172C,0.169
YBR245C,0.233
YHL029C,0.126
YPR117W,0.119
YPL013C,0.196
YOR065W,0.193
YNL055C,0.004
YJR019C,0.508
YML076C,0.034
YPR045C,0.178
YOR139C,-0.002
YGL260W,-0.193
YIL008W,-0.167
YOL034W,0.526
YOL107W,-0.162
YER110C,0.050
YNL128W,-0.092
YGR292W,0.077
YDR131C,-0.025
YGL261C,-0.041
YBR173C,-0.014
YPR118W,-0.164
YOR066W,-0.271
YOL035C,-0.048
YOL108C,-0.027
YGR293C,-0.189
YOR350C,0.086
YOR067C,-0.296
YDR204W,0.073
YDL100C,-0.097
YIL009W,0.114
YBR246W,-0.115
YPL014W,-0.720
YNL056W,-0.147
YER111C,0.195
YNL129W,-0.010
YML077W,-0.086
YDR132C,0.043
YJR010C-A,-0.139
YPR046W,-0.068
YBR174C,-0.100
YBR247C,0.298
YPR119W,-0.234
YPL015C,-0.290
YER093C-A,0.085
YOR351C,0.480
YOR068C,0.083
YDR205W,0.051
YGL262W,-0.261
YDL101C,0.262
YBL070C,-0.108
YJL200C,0.195
YOL036W,0.015
YOL109W,0.260
YNL057W,-0.523
YML078W,-0.148
YGR294W,-0.169
YDR133C,0.064
YGL190C,-0.007
YPR047W,-0.182
YBR248C,-0.258
YOL037C,-0.004
YNL058C,-0.515
YGR295C,-0.150
YER112W,0.193
YDR060W,0.139
YCR081W,0.213
YDR206W,0.008
YGL263W,-0.562
YCL050C,-0.252
YBR175W,-0.066
YBL071C,-0.033
YER113C,-0.023
YML079W,-0.001
YOR352W,0.154
YDR207C,0.084
YPR048W,0.113
YJR160C,-0.097
YBR249C,-0.260
YOR069W,0.075
YPL017C,0.031
YDL102W,0.043
YNL059C,0.221
YOR280C,-0.053
YOR353C,0.025
YJL201W,0.013
YPR049C,0.377
YER040W,0.098
YDR061W,0.042
YGL191W,0.030
YCR082W,0.065
YDL103C,0.113
YBR176W,-0.019
YBL072C,-0.342
YOL038W,0.079
YJL202C,0.064
YIL150C,-0.043
YER114C,0.021
YGR296W,0.015
YDR135C,0.170
YNL270C,1.046
YBR177C,-0.303
YJR161C,-0.195
YDL030W,0.244
YCL051W,-0.134
YOR281C,0.226
YOR354C,0.022
YFR020W,-0.225
YER041W,-0.146
YDR062W,-0.171
YGL192W,-0.094
YDR208W,0.266
YCR083W,-0.050
YDL104C,0.082
YCL052C,-0.040
YPL018W,-0.074
YJL130C,-0.228
YOL039W,-0.190
YIL151C,-0.112
YER115C,0.025
YDR136C,0.085
YGL193C,-0.222
YCR084C,0.044
YDR209C,-0.121
YLR120C,-0.530
YNL271C,-0.161
YJR162C,0.198
YEL010W,-0.580
YPL019C,-0.119
YDL031W,0.239
YBL073W,-0.028
YJL203W,0.083
YFR021W,-0.001
YER042W,0.031
YDR063W,0.013
YBR178W,-0.260
YKL110C,0.093
YBL074C,-0.079
YGR001C,-0.076
YJL131C,0.078
YJL204C,0.062
YER043C,-0.050
YER116C,0.029
YOR282W,0.151
YGL194C,0.202
YOR355W,-0.176
YLR121C,-0.685
YBR179C,0.240
YNL272C,0.153
YJR090C,0.116
YEL011W,-0.260
YDL032W,-0.122
YDL105W,0.293
YDR420W,0.314
YFR022W,-0.460
YIL152W,0.060
YMR100W,0.032
YDR064W,-0.489
YDR137W,0.204
YPL230W,0.059
YDL033C,0.017
YCR085W,-0.473
YDL106C,0.075
YKL111C,0.452
YBL075C,-0.281
YGR002C,0.016
YER044C,-0.099
YMR101C,0.004
YOR283W,0.099
YOR356W,0.291
YLR122C,-0.000
YJR091C,-0.023
YEL012W,0.289
YCL054W,0.386
YPR190C,0.220
YOR357C,0.021
YJL132W,-0.105
YDR421W,0.136
YFR023W,0.473
YIL153W,-0.023
YER117W,-0.418
YDR065W,0.056
YPL231W,-0.221
YDR138W,-0.340
YCR086W,-0.081
YKR070W,-0.105
YNL273W,0.000
YBL076C,-0.207
YDR422C,0.085
YJL206C,0.125
YFR024C,-0.116
YIL154C,0.034
YER045C,-0.125
YER118C,-0.073
YDR066C,-0.104
YMR102C,-0.374
YLR050C,0.048
YOR284W,-0.044
YDR139C,-0.099
YLR123C,-0.263
YKR071C,0.335
YNL274C,0.191
YEL013W,-0.186
YDL034W,0.105
YDL107W,0.182
YCL055W,-0.002
YKL112W,0.523
YHR001W-A,0.141
YGR003W,0.182
YJL060W,-0.287
YJL133W,-0.206
YEL014C,-0.643
YPL232W,0.159
YGL196W,0.085
YCR087W,0.129
YDL035C,0.000
YCL056C,0.033
YKL040C,0.130
YJR092W,0.113
YKL113C,0.583
YDR350C,-0.133
YDR423C,-0.003
YJL207C,-0.042
YFR025C,-0.154
YIL155C,0.714
YPR191W,0.197
YER119C,-0.065
YDR067C,-0.148
YMR103C,-0.298
YLR051C,0.000
YOR285W,-0.103
YOR358W,0.107
YKR072C,0.045
YJR093C,0.117
YDL108W,-0.038
YBL077W,-0.205
YJL061W,0.031
YGR004W,-0.092
YJL134W,-0.058
YER046W,-0.070
YMR030W,0.134
YPL160W,-0.135
YPL233W,0.191
YGL197W,-0.018
YDL036C,0.185
YLR124W,-0.017
YCR088W,-0.037
YLL020C,0.277
YDL109C,0.058
YNL275W,0.049
YBL078C,0.060
YKL114C,0.111
YGR005C,0.163
YJL208C,0.127
YDR424C,-0.041
YIL083C,-0.047
YFR026C,-0.133
YER047C,0.094
YPR192W,0.008
YMR031C,0.199
YPL161C,0.176
YMR104C,-0.155
YOR286W,0.027
YPL234C,-0.207
YOR359W,0.045
YKR073C,-0.188
YJR094C,-0.039
YNL276C,-0.110
YEL015W,0.222
YPR193C,-0.465
YCL057W,-0.088
YKL041W,0.288
YOR287C,0.153
YJL062W,-0.123
YJL135W,-0.099
YDR351W,-0.052
YIL156W,0.095
YNR010W,-0.037
YDR068W,0.190
YEL016C,-0.075
YGL198W,-0.023
YLR052W,-0.405
YCR089W,0.067
YLR125W,-0.170
YCL058C,0.123
YKL115C,0.001
YJL063C,-0.026
YJL136C,-0.196
YIL084C,-0.029
YNR011C,0.146
YIL157C,0.017
YER048C,0.191
YPL162C,-0.007
YDR069C,-0.062
YMR105C,-0.459
YLR053C,0.172
YGL199C,-0.140
YLR126C,0.734
YLL021W,-0.155
YPR194C,-0.454
YKL042W,-0.191
YBL079W,-0.186
YOR288C,-0.218
YGR006W,-0.228
YDR352W,-0.037
YDR425W,0.066
YFR027W,-0.101
YJL209W,0.000
YMR032W,0.173
YPL235W,0.018
YLL022C,0.265
YKR074W,-0.265
YCL059C,0.083
YJR095W,1.715
YNL277W,0.141
YKL116C,-0.158
YJL137C,0.168
YFR028C,0.189
YIL085C,-0.053
YPL090C,-0.264
YMR106C,0.077
YPL163C,-0.245
YPL236C,-0.109
YLR054C,-0.160
YLR127C,0.064
YKR075C,0.668
YEL017W,0.005
YML001W,-0.055
YPR195C,-0.194
YKL043W,-0.108
YDR280W,0.105
YJL064W,0.040
YGR007W,-0.030
YDR353W,-0.084
YIL158W,0.217
YLR410W,0.117
YNR012W,0.036
YER049W,-0.017
YMR033W,0.012
YDL039C,-0.393
YLL023C,-0.325
YNL278W,0.054
YJR096W,-0.330
YDR281C,-0.058
YJL065C,0.043
YGR008C,-0.360
YJL138C,-0.254
YIL086C,-0.119
YNR013C,-0.135
YMR034C,0.266
YPL164C,0.182
YLR055C,0.178
YOR289W,-0.150
YEL018W,0.207
YKL044W,-0.214
YKL117W,0.101
YDR354W,-0.122
YFR029W,0.147
YDR427W,0.006
YIL159W,-0.045
YLR411W,-0.029
YPL091W,-0.097
YMR107W,0.498
YEL019C,0.111
YPL237W,-0.009
YLR128W,0.028
YKR076W,0.123
YLL024C,-0.563
YER007C-A,-0.145
YNL279W,0.035
YJR097W,0.100
YBR084C-A,-0.258
YGR009C,0.236
YDR282C,0.131
YJL066C,-0.087
YDR355C,0.125
YJL139C,-0.057
YDR428C,-0.026
YIL087C,-0.171
YPR196W,0.221
YPL165C,-0.248
YPL238C,-0.033
YJR098C,0.112
YKL045W,0.366
YKL118W,0.220
YLR412W,0.159
YNR014W,-0.572
YMR035W,0.027
YPL092W,-0.139
YMR108W,0.040
YGR220C,0.060
YLR056W,-0.132
YML004C,-0.136
YLR129W,0.131
YKR077W,0.051
YKL046C,-0.146
YKL119C,-0.039
YDR283C,0.172
YDR429C,0.078
YIL088C,-0.042
YMR036C,0.280
YBR100W,0.143
YLL025W,-0.108
YBR101C,0.258
YJL067W,-0.168
YDR356W,0.416
YLR340W,-0.259
YNR015W,-0.019
YLR413W,-0.484
YPL093W,0.254
YMR109W,-0.051
YPL166W,-0.236
YPL239W,0.270
YGR221C,-0.074
YLR057W,-0.015
YKR078W,0.097
YJR099W,0.200
YJL068C,-0.098
YDR284C,-0.148
YDR357C,0.040
YNR016C,-0.060
YLR414C,-0.104
YPR198W,-0.095
YMR037C,0.014
YPL094C,-0.008
YPL167C,-0.042
YLR058C,-0.721
YKR079C,-0.002
YHR200W,-0.004
YML005W,0.026
YLL026W,-0.646
YPR199C,-0.098
YKL047W,0.021
YBR102C,0.163
YMR320W,-0.199
YIL089W,-0.281
YLR341W,-0.154
YHR201C,-0.048
YML006C,0.107
YKL048C,0.198
YJL069C,0.267
YMR321C,-0.505
YLR415C,0.000
YMR038C,0.188
YPL095C,-0.107
YLR059C,-0.114
YAR050W,-0.249
YDL180W,-0.077
YGR222W,-0.063
YLL027W,0.293
YDR285W,-0.000
YDR358W,0.007
YLR342W,-0.447
YNR017W,0.026
YGR150C,0.185
YPL168W,0.035
YGR223C,0.166
YKL049C,0.211
YDR286C,-0.148
YMR322C,-0.260
YDR359C,0.067
YLR416C,-0.294
YMR039C,-0.052
YBR030W,0.157
YBR103W,0.213
YPL169C,-0.121
YDL181W,0.158
YAL020C,0.106
YHR202W,-0.253
YML007W,0.359
YCR010C,1.100
YLL028W,-0.189
YLR270W,-0.088
YLR343W,0.042
YNR018W,0.149
YHR130C,-0.147
YPL096W,0.063
YHR203C,-0.289
YGR151C,0.073
YML008C,0.277
YBR031W,-0.148
YBR104W,-0.272
YDL182W,0.158
YAL021C,0.025
YGR224W,-0.187
YGL120C,0.119
YLL029W,0.122
YCR011C,0.025
YBR105C,0.158
YMR250W,-0.776
YDR287W,0.128
YMR323W,-0.371
YDL183C,0.202
YLR271W,-0.229
YLR344W,-0.299
YNR019W,0.143
YLR417W,0.033
YHR131C,-0.065
YPL097W,0.056
YGR152C,0.194
YML009C,-0.089
YMR324C,0.141
YLR272C,0.219
YLR418C,0.141
YPL098C,0.085
YBR032W,-0.499
YBL001C,-0.059
YAR053W,-0.094
YAL022C,-0.106
YHR204W,-0.160
YGR225W,-0.258
YGL121C,-0.359
YMR251W,0.162
YDR288W,0.023
YDL184C,-0.237
YLR345W,0.108
YHR132C,0.039
YGR226C,-0.509
YMR252C,-0.317
YDR289C,0.160
YLR273C,0.303
YLR346C,0.217
YCR012W,-0.668
YBR033W,0.461
YPL099C,0.117
YBR106W,-0.203
YAL023C,-0.158
YHR205W,0.160
YGR080W,-0.050
YGR153W,0.053
YGL122C,0.174
YOR210W,0.012
YCR013C,-0.614
YBR034C,0.183
YNL200C,-0.316
YBR107C,-0.177
YLR419W,0.198
YHR133C,-0.277
YGR081C,0.116
YGR154C,-0.034
YBL002W,0.218
YOR211C,0.179
YMR180C,-0.102
YMR253C,-0.089
YMR326C,-0.507
YLR347C,0.021
YBL003C,0.138
YDL185W,-0.055
YAL024C,0.456
YHR060W,0.099
YKL190W,0.013
YHR206W,0.092
YGR227W,-0.064
YCR014C,0.054
YBR035C,-0.034
YNL201C,0.269
YLR274W,0.012
YIR040C,-0.269
YHR061C,-0.076
YHR207C,0.139
YMR181C,-0.210
YMR254C,0.243
YGL050W,0.054
YLR348C,0.540
YGL123W,-0.306
YBR108W,-0.001
YDL186W,0.087
YAL025C,0.295
YKL191W,0.121
YHR134W,-0.152
YGR082W,-0.092
YGR155W,0.040
YGR228W,0.176
YGL124C,-0.043
YOR212W,-0.189
YCR015C,-0.007
YBR036C,-0.142
YBR109C,-0.089
YDL187C,-0.025
YLR275W,0.099
YHR062C,0.061
YHR135C,0.082
YKL192C,-0.075
YGR083C,0.163
YGR229C,0.275
YBL004W,0.015
YOR213C,0.045
YMR182C,-0.099
YHL030W,-0.134
YLR276C,0.288
YGL051W,-0.111
YNL202W,0.917
YJR020W,0.474
YIR041W,-0.110
YHL031C,0.074
YHR208W,-0.129
YGR156W,-0.009
YOR140W,0.190
YFL034C-B,-0.228
YBR037C,0.105
YNL130C,-0.117
YNL203C,0.820
YMR255W,0.211
YJR021C,-0.044
YIR042C,-0.074
YDL188C,-0.088
YLR349W,0.499
YHR063C,0.030
YHR136C,-0.023
YKL193C,-0.161
YPR120C,0.180
YGR084C,0.101
YBL005W,-0.000
YOR141C,0.347
YOR214C,-0.274
YIL010W,-0.109
YMR183C,-0.822
YMR256C,0.116
YLR277C,0.047
YGL052W,-0.182
YGL125W,-0.064
YCR016W,0.216
YBL006C,-0.072
YCR020C-A,-0.223
YHL032C,0.572
YHR209W,-0.509
YGR157W,-0.193
YKR001C,0.028
YNL204C,-0.024
YHR064C,-0.207
YKL194C,-0.141
YGR085C,-0.188
YGR158C,0.034
YOR215C,0.151
YAL027W,-0.278
YIL011W,-0.068
YMR257C,-0.076
YLR278C,0.033
YGL053W,-0.129
YGL126W,-0.284
YOL110W,0.157
YNL131W,-0.043
YBR038W,-0.092
YJR022W,0.059
YBL007C,0.032
YDL189W,-0.005
YHR137W,1.023
YHL033C,-0.287
YPR121W,-0.203
YOR142W,0.241
YGL054C,-0.028
YGL127C,-0.138
YOL111C,-0.018
YMR184W,-0.238
YJR023C,-0.005
YNL205C,-0.377
YIR044C,-0.170
YHR065C,0.247
YHR138C,-0.248
YGR086C,0.153
YOR070C,-0.013
YGR159C,-0.124
YOR143C,0.114
YOR216C,0.259
YAL028W,-0.292
YIL012W,-0.382
YMR258C,-0.231
YKR002W,0.300
YBR039W,0.047
YNL132W,-0.049
YML080W,0.244
YAL029C,0.013
YIL013C,-0.396
YKL195W,0.076
YHL034C,0.094
YPR122W,-0.107
YGL128C,-0.062
YNL133C,0.264
YMR185W,0.267
YNL206C,0.175
YJR024C,-0.065
YLR279W,-0.128
YKL196C,-0.109
YHR139C,-0.594
YPR123C,0.515
YGR087C,-0.671
YOR071C,-0.099
YOR144C,0.278
YBL008W,0.153
YBR250W,0.025
YGL055W,-0.168
YOL112W,0.057
YCR019W,-0.064
YKR003W,-0.130
YML081W,0.004
YHR066W,0.447
YHL035C,0.286
YGL056C,0.564
YGL129C,0.105
YOR217W,-0.032
YKR004C,0.010
YMR186W,-0.032
YNL134C,-0.485
YJR025C,-0.148
YKL197C,0.069
YOR145C,0.394
YBL009W,0.125
YOR218C,-0.103
YIL014W,-0.085
YMR187C,-0.001
YBR251W,0.237
YOL113W,-0.161
YNL061W,0.107
YNL207W,0.150
YML082W,0.144
YHR067W,-0.022
YPR051W,0.078
YPR124W,0.760
YGR088W,-0.910
YPL020C,0.254
YOR072W,-0.005
YGL057C,-0.023
YOL114C,0.074
YNL062C,0.219
YKR005C,0.042
YNL135C,-0.071
YML083C,-0.229
YKL198C,0.098
YOR219C,-0.159
YDR210W,-0.156
YIL015W,-0.622
YMR188C,0.181
YBR252W,-0.104
YHL036W,-0.500
YNL208W,0.189
YHR068W,-0.382
YPR125W,0.194
YGR089W,0.030
YHL037C,-0.242
YOR073W,0.161
YOR146W,0.408
YKR006C,0.151
YHR069C,0.044
YKL199C,0.025
YPR126C,0.057
YOR074C,0.245
YDR211W,0.035
YIL016W,-0.200
YBR180W,-0.197
YBR253W,-0.008
YPL021W,-0.747
YGL058W,0.088
YOL042W,-0.014
YOL115W,0.167
YNL063W,-0.102
YNL136W,0.343
YML084W,0.000
YNL209W,-0.368
YBR181C,-0.287
YBR254C,-0.115
YHL038C,-0.000
YOR147W,0.150
YOL043C,0.042
YNL064C,0.053
YNL137C,0.107
YMR189W,-0.164
YML085C,0.077
YOR148C,0.192
YDR212W,-0.145
YPL022W,0.177
YGL059W,-0.052
YOL116W,0.237
YKR007W,0.000
YPR054W,-0.183
YBR182C,-0.182
YPR127W,-0.323
YOR075W,0.319
YPL023C,0.069
YML086C,0.027
YPR128C,0.000
YOR076C,0.139
YDR140W,-0.021
YOR149C,-0.181
YDR213W,-0.106
YIL018W,-0.358
YBR255W,0.142
YHL039W,0.114
YOL044W,0.024
YOL117W,0.110
YKR008W,0.226
YNL065W,-0.061
YNL138W,-0.095
YDR141C,0.171
YPR055W,-0.010
YBR256C,-0.224
YOL118C,0.080
YKR009C,1.246
YNL139C,-0.232
YML087C,-0.070
YOR360C,-0.011
YER120W,-0.103
YDR214W,0.007
YDL110C,0.075
YIL019W,0.082
YBR183W,-0.203
YPL024W,0.252
YOL045W,-0.128
YNL066W,-0.034
YDR142C,-0.101
YCR090C,-0.164
YDR215C,-0.684
YPR056W,0.027
YPR129W,0.096
YOR077W,0.127
YPL025C,-1.024
YOL046C,-0.088
YOL119C,0.006
YOR361C,-0.020
YER121W,0.295
YDL111C,-0.004
YBR184W,0.020
YBR257W,0.149
YBL080C,0.037
YNL067W,-0.328
YER122C,0.173
YML088W,0.114
YDR070C,-0.915
YDR143C,-0.086
YPR057W,0.181
YBR185C,0.018
YBR258C,-0.127
YOR078W,0.405
YPL026C,0.135
YOL047C,0.158
YNL068C,0.089
YML089C,0.487
YOR362C,0.036
YJL210W,0.050
YOR079C,-0.175
YDR216W,0.152
YCR091W,0.022
YLR200W,0.080
YJL211C,0.124
YDR500C,-0.292
YER050C,0.089
YDR071C,0.115
YDR144C,-0.213
YDR217C,0.276
YCR092C,0.076
YLR201C,-0.083
YPR058W,-0.193
YOL048C,-0.119
YDL112W,-0.062
YNL069C,-0.346
YBL081W,0.083
YOR290C,-0.119
YOR363C,0.094
YER123W,0.096
YDL040C,-0.017
YDL113C,0.189
YCL061C,0.071
YBR186W,0.012
YBR259W,-0.146
YBL082C,-0.296
YPL027W,-0.034
YJL212C,-0.384
YIL160C,1.044
YER124C,0.179
YDR072C,0.092
YDR218C,-0.070
YLR202C,-0.177
YER087C-A,-0.234
YFR030W,0.037
YDR501W,-0.086
YER051W,-0.004
YEL020C,0.136
YDR145W,0.060
YCR093W,0.071
YBR187W,-0.170
YBL083C,-0.205
YPL028W,-0.128
YFR031C,0.253
YOL049W,-0.024
YDR502C,-0.349
YER052C,-0.470
YOR291W,0.002
YDR146C,-0.190
YDR219C,0.217
YOR364W,-0.164
YLR130C,-0.267
YLR203C,-0.076
YBR188C,0.073
YDL041W,0.306
YDL114W,0.090
YGR010W,0.141
YOR292C,-0.304
YJL140W,0.251
YOR365C,0.203
YJL213W,-0.158
YIL161W,0.176
YER125W,-0.027
YDR073W,0.195
YDL042C,0.353
YCR094W,0.127
YDL115C,0.288
YNL281W,-0.000
YPL029W,0.148
YJL141C,-0.095
YDR430C,-0.115
YFR032C,-0.237
YDR503C,-0.257
YER053C,-0.779
YER126C,0.162
YMR110C,-0.110
YPL240C,0.222
YCR095C,-0.067
YLR131C,-0.087
YEL021W,-0.388
YCL063W,-0.121
YKL120W,0.324
YGR011W,-0.060
YJL214W,0.340
YIL162W,-0.318
YDR074W,-0.439
YDR147W,0.044
YDL043C,-0.051
YLR204W,0.024
YCL064C,0.462
YNL282W,-0.005
YBR189W,-0.274
YJL142C,-0.220
YJL215C,0.088
YFR033C,-0.147
YDR504C,-0.020
YIL163C,-0.407
YER054C,0.057
YMR111C,0.051
YDR148C,0.161
YPL241C,-0.072
YOR293W,-0.464
YOR366W,0.138
YLR132C,0.052
YCR096C,0.087
YLR205C,0.023
YFL001W,0.098
YNL283C,-0.043
YEL022W,-0.056
YDL116W,0.038
YBL085W,-0.070
YKL121W,-0.056
YGR012W,0.132
YIL090W,0.139
YDR431W,-0.069
YFL002C,-0.285
YER127W,0.267
YDR075W,0.473
YEL023C,0.177
YDL044C,0.294
YKR080W,-0.673
