GENE,EXPRESSION
YKL122C,0.196
YBL086C,0.059
YFR034C,0.121
YJL216C,0.311
YIL091C,0.334
YDR505C,0.100
YIL164C,-0.064
YER055C,-0.475
YMR112C,0.092
YOR294W,0.258
YPL242C,0.021
YOR367W,0.102
YKR081C,0.169
YNL284C,0.126
YDL117W,-0.113
YCL065W,-0.379
YGR013W,0.111
YJL143W,-0.088
YDR432W,-0.520
YFL003C,-0.218
YER128W,0.075
YDR076W,-0.056
YLR060W,-0.139
YDL045C,0.121
YLR133W,-0.122
YLR206W,0.074
YKL050C,0.083
YBL087C,-0.409
YFR035C,0.398
YDR506C,0.002
YIL165C,-0.138
YER056C,-0.127
YOR295W,0.101
YOR368W,0.151
YCR098C,0.064
YEL024W,0.052
YDL118W,-0.093
YCL066W,-0.437
YKL123W,0.245
YGR014W,-0.066
YJL071W,-0.217
YDR360W,0.033
YOR369C,-0.319
YJL144W,-0.356
YJL217W,0.729
YDR433W,-0.001
YIL092W,0.101
YER129W,-0.004
YMR040W,-0.228
YMR113W,-0.060
YEL025C,-0.277
YDR077W,-0.313
YPL243W,0.160
YLR061W,-0.299
YLR134W,-0.645
YKR082W,0.150
YDL119C,-0.098
YLR207W,-0.106
YLL030C,-0.050
YCL067C,0.169
YNL285W,-0.089
YBL088C,0.076
YGR015C,-0.043
YJL072C,-0.114
YDR361C,0.072
YIL093C,0.178
YDR507C,0.511
YNR020C,0.077
YIL166C,-0.137
YER057C,0.026
YMR041C,0.193
YMR114C,0.231
YDR078C,-0.014
YPL171C,-0.323
YOR296W,0.050
YLR062C,-0.303
YPL244C,-0.226
YCR099C,-0.143
YKR083C,-0.364
YFL004W,0.093
YDL046W,0.105
YKL051W,-0.518
YKL124W,0.234
YOR297C,-0.027
YJL145W,0.131
YJL218W,0.034
YFR036W,-0.015
YDR434W,-0.085
YLR135W,0.089
YLR208W,-0.120
YLL031C,-0.093
YCL068C,0.047
YNL286W,0.162
YKL052C,-0.065
YDR362C,0.286
YFR037C,0.297
YIL094C,0.185
YDR435C,-0.120
YDR508C,0.319
YPL172C,-0.302
YHR039C-A,-0.024
YLR136C,-0.035
YKR084C,0.033
YLR209C,-0.187
YFL005W,0.068
YEL026W,-0.185
YML010W,0.153
YDL047W,0.044
YKL125W,0.480
YBL089W,-0.124
YJL073W,0.020
YGR016W,0.077
YJL146W,0.158
YJL219W,0.298
YNR021W,-0.096
YER058W,-0.234
YMR042W,0.130
YMR115W,0.266
YDR079W,0.025
YLR063W,-0.157
YML011C,-0.104
YPL245W,-0.389
YLL032C,0.038
YNL287W,-0.113
YJL074C,0.299
YJL147C,0.200
YNR022C,-0.039
YMR116C,-0.278
YPL246C,-0.093
YOR298W,-0.154
YKR085C,0.010
YFL006W,-0.029
YCL069W,-0.093
YKL053W,-0.016
YKL126W,-0.121
YDR290W,-0.048
YGR017W,0.029
YOR001W,0.164
YDR363W,0.091
YFR038W,0.278
YDR436W,0.081
YIL095W,0.088
YDR509W,0.340
YIL168W,-0.584
YLR420W,-0.128
YER059W,0.045
YMR043W,-0.183
YPL173W,0.150
YLR064W,-0.126
YDL049C,0.327
YLR137W,0.157
YKL054C,0.218
YNL288W,-0.152
YGR018C,0.069
YJL075C,-0.156
YDR364C,0.003
YIL096C,0.232
YFR039C,0.125
YIL169C,0.054
YLR421C,0.014
YPL174C,0.190
YMR117C,0.093
YOR299W,-0.230
YPL247C,-0.337
YLR065C,-0.197
YFL007W,-0.395
YEL028W,-0.327
YML012W,-0.079
YLL033W,0.000
YKL127W,-0.266
YDR291W,-0.004
YJL148W,0.207
YOR002W,-0.181
YDR437W,-0.130
YNR023W,0.186
YMR044W,0.255
YEL029C,-0.203
YLR138W,-0.157
YLL034C,0.599
YKR086W,0.161
YKL055C,0.117
YKL128C,-0.274
YDR292C,0.159
YDR365C,0.091
YMR118C,-0.199
YPL248C,0.100
YLR139C,0.048
YKR087C,-0.041
YFL008W,-0.029
YML013W,0.087
YJL076W,0.096
YGR019W,-0.163
YOR003W,0.158
YJL149W,0.051
YIL097W,0.107
YDR438W,-0.045
YNR024W,0.188
YLR422W,0.083
YPL175W,-0.261
YLR066W,-0.086
YKL056C,-0.375
YKL129C,-0.007
YJL077C,-0.106
YDR293C,-0.285
YDR366C,-0.286
YIL098C,-0.005
YNR025C,0.258
YLR423C,0.100
YBR110W,-0.147
YPL176C,-0.188
YPL249C,0.183
YLR067C,0.048
YKR088C,-0.222
YFL009W,-0.010
YGR230W,0.177
YML014W,-0.260
YLL035W,-0.063
YBR111C,-0.079
YOR004W,0.057
YLR350W,0.000
YDR439W,0.099
YHR210C,-0.439
YJL205C-A,-0.155
YML015C,0.283
YGR231C,0.011
YLL036C,0.158
YKL057C,0.096
YDR294C,0.073
YJL078C,0.008
YOR005C,0.022
YLR351C,-0.151
YNR026C,0.126
YMR047C,0.093
YPL177C,-0.074
YKR089C,0.035
YGL200C,-0.142
YBR112C,0.108
YAR060C,-0.082
YDL190C,-0.061
YIL099W,-0.546
YLR424W,0.143
YLR068W,-0.148
YML016C,-0.154
YDR295C,0.182
YJL079C,-0.358
YOR006C,0.216
YLR069C,0.080
YHR211W,0.017
YGR232W,-0.118
YGL201C,0.013
YLL037W,0.013
YKL058W,-0.153
YDR368W,-0.111
YLR352W,0.077
YLR425W,0.158
YNR027W,0.011
YMR048W,0.318
YHR212C,-0.367
YPL178W,0.055
YER044C-A,-0.393
YGR233C,0.044
YLL038C,-0.196
YKL059C,0.027
YLR280C,-0.000
YDR369C,0.129
YOR007C,0.026
YMR049C,0.200
YBR040W,-0.632
YBR113W,0.129
YAR061W,-0.274
YDL191W,-0.263
YGR160W,0.065
YCR020C,-0.262
YLR353W,-0.009
YNR028W,0.084
YLR426W,0.037
YPL179W,-0.036
YGR161C,-0.399
YML018C,-0.123
YAL030W,-0.050
YLL039C,-0.075
YMR260C,0.173
YOR008C,0.007
YLR281C,0.022
YLR354C,-0.057
YNR029C,0.142
YGL202W,-0.305
YBR041W,-0.395
YBR114W,-0.120
YBL010C,0.135
YAR062W,0.056
YDL192W,-0.098
YAL031C,-0.084
YHR140W,-0.145
YHR213W,-0.063
YGR234W,-0.189
YGL203C,0.013
YCR021C,-0.851
YBR042C,-0.090
YBR115C,0.150
YDR297W,-0.205
YLR427W,0.038
YHR141C,-0.359
YGR235C,0.068
YMR261C,-0.236
YDR298C,-0.018
YLR282C,0.167
YGL130W,0.164
YLR355C,-0.068
YLR428C,-0.000
YDL193W,-0.056
YAL032C,-0.139
YHR214W,-0.029
YGR162W,0.114
YDR001C,-0.250
YML019W,-0.171
YGL131C,0.229
YCR022C,-0.207
YGL204C,-0.228
YBR043C,0.454
YBR116C,-0.299
YJR100C,-0.005
YOR009W,-0.181
YBL011W,0.039
YGR236C,-0.064
YBL012C,-0.054
YAR064W,-0.291
YDL194W,0.139
YHR142W,-0.245
YHR215W,-0.371
YGR090W,-0.269
YGR163W,0.093
YOR220W,-0.183
YCR023C,-0.016
YBR044C,-0.030
YBR117C,0.000
YMR262W,-0.171
YDR299W,0.518
YLR283W,-0.050
YLR356W,-0.204
YLR429W,-0.087
YPR200C,-0.265
YGR237C,-0.088
YOR221C,-0.144
YAL033W,-0.194
YMR190C,0.581
YLR284C,0.195
YDR002W,-0.027
YGL132W,-0.122
YGL205W,1.456
YNL210W,-0.228
YJR101W,-0.039
YDL195W,0.407
YAL034C,-0.278
YHR070W,0.058
YHR143W,-0.123
YGR091W,0.115
YHR216W,-0.157
YGR164W,-0.473
YCR024C,-0.050
YBR045C,0.786
YMR263W,0.229
YNL211C,-0.233
YJR102C,-0.003
YLR357W,-0.076
YHR144C,-0.121
YGR238C,0.000
YBL013W,0.076
YGL060W,-0.010
YDR003W,-0.099
YGL133W,0.158
YLR358C,0.249
YBR118W,-0.074
YBL014C,0.011
YDL196W,0.270
YHR071W,-0.614
YHL040C,0.254
YGR092W,-0.066
YPR201W,0.063
YGR165W,-0.013
YGL061C,0.022
YOR222W,-0.092
YCR025C,-0.231
YBR046C,0.450
YMR191W,0.326
YMR264W,0.000
YJR030C,-0.013
YDL197C,0.140
YLR285W,0.371
YHR145C,-0.258
YGR239C,0.130
YAL035W,0.124
YMR265C,-0.131
YDR004W,0.052
YLR286C,-0.012
YGL134W,0.138
YGL207W,0.059
YNL212W,0.196
YBR119W,-0.034
YJR103W,-0.103
YAL036C,0.047
YHR072W,-0.008
YIL020C,-0.618
YHR218W,0.046
YGR093W,0.044
YPR202W,-0.043
YGR166W,-0.151
YOR150W,-0.053
YDR005C,-0.120
YOR223W,0.030
YCR026C,0.213
YKR010C,0.216
YMR192W,-0.094
YNL140C,-0.056
YJR031C,0.100
YNL213C,0.081
YJR104C,-0.205
YDL198C,-0.261
YLR359W,-0.746
YPR130C,0.080
YBL015W,0.176
YOR151C,0.070
YOR224C,-0.134
YHL041W,-0.119
YGL062W,0.625
YLR287C,0.214
YGL135W,-0.432
YGL208W,0.354
YBR047W,0.265
YAR068W,0.122
YHR073W,0.042
YHR146W,0.173
YHR219W,-0.062
YGR094W,-0.158
YPR203W,-0.004
YGR167W,0.015
YDR006C,0.244
YGL136C,-0.066
YCR027C,-0.060
YOL120C,-0.409
YKR011C,0.034
YMR193W,-0.308
YMR266W,-0.275
YDL199C,0.194
YHR147C,-0.042
YPR131C,-0.096
YGR095C,-0.021
YGR168C,-0.065
YOR152C,0.072
YBL016W,-0.178
YAL037W,-0.086
YIL021W,0.180
YHL042W,-0.137
YLR288C,0.015
YGL063W,0.123
YGL209W,-0.090
YBR048W,-0.407
YNL141W,-0.263
YNL214W,0.122
YJR032W,0.040
YJR105W,-0.279
YBL017C,-0.134
YHR074W,-0.042
YPR204W,0.020
YGL064C,0.129
YOR225W,-0.025
YCR028C,-0.026
YKR012C,-0.485
YBR049C,0.385
YMR194W,-0.311
YMR267W,0.097
YJR033C,-0.040
YHR075C,-0.114
YGR169C,-0.092
YOR226C,0.009
YJL001W,-0.076
YAL038W,-0.652
YIL022W,0.047
YMR268C,0.168
YHL043W,-0.051
YPL100W,0.132
YDR007W,-0.069
YGL137W,0.068
YNL142W,0.131
YNL215W,0.386
YML090W,0.150
YJR106W,-0.139
YBL018C,-0.140
YJL002C,-0.185
YAL039C,0.050
YIL023C,-0.161
YHR148W,0.203
YBR260C,0.205
YPR132W,-0.242
YGR096W,-0.161
YOR080W,0.015
YGL065C,0.048
YOR153W,0.024
YGL138C,-0.310
YOL122C,-0.442
YMR195W,-0.407
YNL143C,-0.227
YML091C,0.305
YER066C-A,-0.535
YLR289W,0.145
YHR149C,0.204
YPR060C,0.051
YPR133C,0.266
YOR081C,-0.066
YHL044W,-0.445
YPL101W,0.177
YKR013W,-0.397
YNL070W,-0.134
YNL216W,0.205
YJR034W,0.017
YJR107W,-0.213
YHR076W,-0.006
YIL024C,-0.091
YBR261C,-0.013
YGR097W,-0.549
YOR154W,0.339
YPL102C,0.095
YOL050C,0.066
YOR227W,-0.269
YKR014C,-0.189
YNL144C,-0.144
YMR269W,-0.064
YML092C,-0.081
YHR077C,0.205
YPR061C,0.155
YGR098C,0.160
YOR082C,-0.210
YBL019W,0.076
YOR155C,-0.141
YOR228C,-0.025
YJL003W,0.157
YMR197C,-0.573
YHL045W,-0.270
YGL066W,0.114
YDR009W,-0.111
YGL139W,0.106
YOL123W,0.245
YNL071W,-0.094
YJR035W,0.282
YNL217W,-0.337
YJR108W,-0.284
YDR220C,0.077
YJL004C,-0.048
YIL025C,-0.352
YPR134W,0.083
YBR262C,-0.063
YHL046C,-0.192
YPL103C,-0.173
YOL124C,0.286
YKR015C,0.050
YJR036C,-0.055
YJR109C,-0.323
YOR156C,-0.255
YPL030W,0.113
YGL067W,-0.191
YOL051W,0.171
YNL072W,0.181
YNL145W,-0.764
YML093W,0.395
YNL218W,0.175
YIL026C,0.181
YHR078W,-0.235
YPR062W,-0.070
YHL047C,0.362
YPR135W,0.181
YGR099W,-0.043
YPL031C,-0.106
YOR083W,-0.005
YOR229W,0.074
YOL052C,0.042
YMR198W,0.107
YNL219C,-0.120
YHR079C,0.049
YPR063C,-0.201
YPR136C,-0.115
YOR157C,0.155
YDR221W,0.043
YJL005W,-0.120
YBR190W,-0.209
YBR263W,-0.037
YPL104W,0.088
YGL068W,-0.085
YOL125W,0.118
YKR016W,0.307
YNL073W,-0.054
YNL146W,-0.116
YML094W,-0.055
YJR037W,-0.164
YKL096W-A,-0.197
YJL006C,0.076
YIL027C,-0.145
YBR264C,0.145
YOR084W,0.790
YPL032C,0.024
YPL105C,0.257
YGL069C,-0.074
YOL126C,0.159
YKR017C,0.087
YNL074C,-0.012
YMR199W,0.108
YJR038C,-0.073
YML095C,0.367
YDR222W,0.263
YBR191W,-0.504
YHL048W,-0.022
YOL053W,0.136
YNL147W,0.034
YJL007C,0.019
YPR064W,-0.266
YPR137W,0.093
YHL049C,0.029
YPL033C,-0.688
YOR085W,-0.121
YOR158W,0.217
YPL106C,-0.185
YKR018C,-0.023
YNL148C,-0.180
YPR138C,0.052
YOR086C,-0.096
YDR150W,0.401
YOR159C,0.033
YDR223W,0.332
YIL028W,0.362
YBR192W,-0.068
YBR265W,-0.010
YOL054W,0.273
YOL127W,-0.192
YNL075W,0.130
YER130C,0.007
YJR039W,0.115
YML096W,0.074
YDR151C,0.049
YDR224C,0.188
YJL008C,0.160
YIL029C,-0.147
YPR065W,0.170
YBR193C,0.013
YBR266C,0.011
YOL055C,-0.033
YOL128C,0.087
YKR019C,0.092
YNL149C,0.162
YML097C,0.228
YOR370C,-0.027
YPR139C,0.080
YPL034W,-0.103
YPL107W,0.261
YNL076W,0.144
YPR066W,-0.165
YPL035C,-0.054
YOR087W,-0.092
YDL120W,-0.025
YOR371C,0.136
YER131W,-0.210
YDR152W,0.198
YDR225W,0.153
YJL009W,-0.020
YDL121C,-0.212
YBR194W,0.077
YBR267W,0.272
YPL108W,0.403
YOL056W,-0.147
YOL129W,-0.065
YNL077W,0.156
YER132C,-0.010
YML098W,0.060
YDR153C,0.182
YBR195C,-0.043
YPR067W,-0.077
YOR088W,-0.124
YPL109C,0.155
YBL090W,0.057
YML099C,0.000
YOR372C,0.095
YJL220W,0.111
YPR068C,-0.082
YOR089C,0.193
YDR080W,0.000
YDR226W,-0.245
YLR210W,0.093
YBL091C,0.041
YBR268W,-0.075
YPL036W,-0.245
YJL221C,0.082
YOL057W,-0.122
YNL078W,0.030
YDR081C,0.205
YLR211C,-0.178
YBR196C,-0.426
YBR269C,-0.050
YPL037C,-0.109
YDL122W,0.229
YNL079C,0.196
YDR510W,-0.203
YPR069C,0.050
YER060W,-0.211
YER133W,0.051
YDR227W,0.389
YDL050C,0.061
YCL026C-A,-0.263
YKL201C,0.238
YOL058W,-0.652
YER061C,-0.296
YER134C,-0.211
YDR155C,-0.534
YDR228C,0.082
YLR212C,0.239
YBR197C,-0.123
YDL123W,-0.083
YJL222W,0.094
YFR040W,-0.057
YIL170W,0.294
YDR511W,-0.035
YDR082W,0.366
YNL290W,0.129
YBL093C,-0.059
YPL038W,0.035
YGR020C,-0.102
YFR041C,-0.002
YOL059W,-0.499
YJL223C,-0.129
YDR512C,-0.084
YER062C,-0.486
YER135C,-0.152
YOR374W,1.280
YLR213C,-0.155
YBR198C,0.100
YNL291C,-0.143
YEL030W,-0.280
YDL051W,-0.045
YDL124W,-0.316
YKL202W,0.252
YOR375C,-0.081
YJL150W,-0.271
YFL010C,0.160
YDR083W,0.097
YDR156W,0.003
YDR229W,0.099
YLR140W,0.358
YDL052C,-0.297
YDL125C,-0.280
YCL073C,-0.121
YKL130C,-0.039
YBL094C,-0.056
YKL203C,-0.101
YPL039W,0.172
YJL151C,-0.249
YIL172C,0.153
YMR120C,-1.052
YDR084C,-0.094
YPL250C,-0.237
YEL031W,-0.010
YGR021W,0.006
YDR440W,0.247
YFR042W,0.108
YDR513W,-0.139
YER063W,0.010
YER136W,0.073
YDL053C,0.077
YLR141W,0.026
YLR214W,0.518
YDL126C,0.060
YBR199W,-0.151
YGR022C,0.062
YFR043C,0.057
YDR441C,0.028
YDR514C,0.230
YER064C,0.029
YER137C,0.003
YMR121C,0.000
YDR085C,-0.563
YOR376W,0.319
YLR215C,0.146
YFL011W,0.356
YEL032W,0.112
YHR001W,0.171
YKL131W,-0.263
YBL095W,-0.266
YKL204W,0.253
YJL152W,-0.268
YIL173W,0.071
YPL251W,0.126
YDR158W,-0.311
YLR142W,0.580
YDL054C,-0.115
YKR090W,-0.167
YNL293W,-0.115
YBL096C,-0.009
YKL132C,-0.048
YJL080C,-0.251
YJL153C,0.081
YFR044C,-0.158
YER065C,0.650
YMR122C,0.404
YDR086C,-0.085
YLR070C,0.029
YPL252C,-0.058
YOR377W,-0.237
YLR216C,-0.167
YNL294C,-0.169
YFL012W,-0.721
YEL033W,0.121
YDL127W,-0.050
YHR002W,0.031
YGR023W,0.097
YKL205W,0.001
YDR442W,-0.308
YDR515W,0.266
YIL174W,0.007
YFL013C,0.283
YDR159W,0.157
YLR143W,0.023
YDL055C,-0.580
YKR091W,-0.542
YHR003C,0.078
YKL060C,-0.406
YKL133C,0.181
YJL081C,0.195
YGR024C,-0.124
YKL206C,-0.132
YDR370C,-0.005
YJL154C,-0.220
YDR443C,0.000
YDR516C,-0.403
YER139C,-0.075
YDR087C,0.462
YPL253C,0.202
YLR071C,0.112
YOR378W,0.093
YLR144C,-0.162
YKR092C,0.186
YEL034W,0.127
YDL128W,0.084
YCL076W,-0.669
YBL097W,0.255
YOR379C,0.125
YFR045W,0.395
YER066W,-0.092
YPL180W,0.374
YEL035C,-0.211
YMR123W,-0.016
YLL040C,0.108
YLR217W,-0.253
YNL295W,0.204
YHR004C,-0.097
YKL134C,0.130
YJL155C,-0.069
YFR046C,0.187
YIL176C,-0.029
YDR088C,0.294
YLR218C,0.237
YFL014W,-1.104
YDL056W,0.220
YDL129W,0.070
YKL061W,0.104
YBL098W,-0.050
YKL207W,-0.020
YJL082W,-0.217
YGR025W,-0.076
YDR371W,-0.062
YDR444W,0.078
YNR030W,-0.195
YDR517W,-0.124
YER067W,-0.608
YFL015C,-0.205
YPL181W,0.285
YEL036C,0.049
YMR124W,0.000
YPL254W,0.081
YLR072W,0.102
YLR145W,-0.114
YKR093W,0.290
YLL041C,0.138
YHR005C,-0.020
YNL296W,0.002
YKL135C,0.107
YJL156C,0.018
YOR010C,-0.245
YDR372C,-0.082
YDR445C,-0.461
YFR047C,-0.182
YNR031C,0.029
YPL182C,0.296
YLR073C,0.057
YLR146C,-0.191
YKR094C,0.036
YNL297C,0.073
YML020W,0.167
YDL057W,-0.014
YKL062W,-0.307
YBL099W,0.190
YJL083W,0.124
YGR026W,-0.131
YKL208W,-0.115
YDR518W,-0.272
YFL016C,0.187
YER068W,0.028
YMR052W,-0.662
YEL037C,0.092
YMR125W,-0.062
YDR089W,-0.460
YPL255W,0.199
YML021C,-0.029
YLR219W,0.034
YLL042C,-0.315
YKL063C,0.127
YJL084C,0.166
YKL209C,-0.292
YGR027C,-0.434
YJL157C,-0.158
YMR053C,-0.125
YPL183C,0.099
YMR126C,-0.081
YLR074C,0.004
YPL256C,-0.138
YLR147C,0.179
YDL058W,0.069
YHR006W,0.103
YOR011W,0.000
YDR373W,-0.048
YFR048W,-0.081
YDR446W,-0.706
YLR430W,-0.218
YNR032W,-0.035
YDR519W,-0.333
YFL017C,0.131
YER069W,-0.355
YDL059C,-0.159
YKR095W,0.205
YNL298W,0.028
YHR007C,-0.233
YDR374C,-0.434
YJL158C,-0.300
YDR447C,-0.415
YLR431C,0.000
YMR127C,0.045
YPL184C,-0.163
YNL001W,0.220
YEL038W,0.085
YML022W,-0.258
YLL043W,0.172
YKL064W,0.040
YKL137W,-0.258
YJL085W,0.000
YGR028W,-0.024
YOR012W,-0.372
YFR049W,0.012
YNR033W,0.126
YFL018C,0.234
YNL002C,0.197
YMR054W,-0.127
YEL039C,-0.319
YPL257W,0.021
YLR075W,-0.169
YML023C,-0.149
YLR148W,0.330
YKR096W,0.122
YNL299W,0.379
YHR008C,0.009
YKL065C,-0.148
YKL138C,-0.613
YJL086C,-0.107
YDR375C,-0.031
YMR055C,-0.069
YPL258C,0.105
YLR076C,-0.155
YLR149C,0.073
YLL044W,-0.295
YBR120C,0.026
YGR029W,-0.066
YJL159W,-0.357
YOR013W,-0.195
YDR448W,0.126
YNR034W,-0.281
YLR432W,-0.197
YNL003C,-0.180
YMR128W,0.254
YPL185W,0.007
YGR240C,-0.399
YKR097W,1.289
YLL045C,0.104
YHR009C,-0.193
YJL087C,0.069
YDR449C,0.216
YNR035C,0.003
YLR433C,-0.072
YMR056C,0.279
YPL186C,0.200
YPL259C,-0.029
YKR098C,0.010
YML024W,-0.551
YCR100C,-0.411
YKL066W,-0.154
YKL139W,0.158
YBR121C,-0.061
YOR014W,-0.038
YDR376W,-0.077
YLR360W,-0.063
YMR129W,-0.128
YML025C,0.138
YGR241C,0.003
YLR077W,0.144
YLL046C,-0.054
YLR361C,0.004
YNR036C,-0.032
YLR434C,0.277
YMR057C,-0.000
YLR078C,0.120
YNL004W,0.095
YCR101C,-0.346
YKL067W,-0.148
YBR122C,0.035
YAR070C,-0.081
YJL088W,-0.416
YDR377W,-0.036
YOR015W,-0.099
YNL005C,0.191
YPL187W,-0.006
YML026C,-0.459
YKR099W,0.466
YOR016C,0.027
YDR378C,-0.283
YGL210W,0.243
YNR037C,-0.022
YGR242W,0.015
YLL047W,-0.391
YCR102C,-0.398
YBR050C,0.432
YKL068W,0.148
YBR123C,0.054
YJL089W,0.037
YLR362W,0.144
YLR435W,-0.009
YMR058W,0.449
YPL188W,0.065
YLR079W,0.108
YLL048C,0.009
YLR290C,0.109
YLR363C,-0.052
YGL211W,0.042
YLR436C,-0.152
YAR071W,-0.791
YAL040C,-0.027
YNL006W,-0.017
YGR170W,0.100
YGR243W,0.530
YML027W,0.038
YCR030C,-0.042
YOR300W,-0.346
YCR103C,-0.323
YKL069W,-0.007
YOR017W,0.137
YDR379W,-0.041
YNR038W,0.143
YNL007C,-0.142
YMR059W,-0.022
YPL189W,-0.077
YGR171C,0.039
YGR244C,0.411
YMR270C,0.199
YLR291C,0.018
YLR437C,0.075
YNR039C,0.053
YGL212W,0.104
YBR051W,0.465
YBR124W,-0.076
YHR150W,0.273
YDR010C,0.481
YML028W,-0.192
YGL140C,-0.132
YOR301W,0.013
YGL213C,-0.049
YLL049W,-0.275
YCR031C,-0.373
YBR052C,-0.145
YBR125C,0.096
YOR018W,-0.204
YLR364W,-0.055
YHR151C,-0.149
YNL008C,0.011
YGR172C,-0.103
YGR245C,0.186
YBL020W,0.045
YAL041W,0.050
YMR271C,-0.209
YLR292C,-0.197
YCR104W,-0.048
YBL021C,0.073
YAR073W,-0.109
YML029W,-0.083
YBR053C,-0.084
YBR126C,-0.270
YOR019W,0.208
YLR365W,0.000
YLR438W,0.603
YGR246C,0.254
YAL042W,-0.068
YMR272C,-0.465
YDR011W,0.037
YLR293C,-0.242
YCR032W,0.097
YGL214W,0.109
YCR105W,-0.097
YBL022C,0.090
YJR110W,-0.016
YAL043C,0.066
YHR214W-A,0.136
YHR152W,0.149
YNL009W,0.854
YGR173W,0.060
YOR230W,-0.204
YGL142C,-0.122
YOR303W,-0.127
YBR127C,-0.131
YJR111C,-0.085
YLR366W,0.000
YLR439W,0.185
YHR080C,0.026
YHR153C,-0.482
YGR174C,0.027
YIL100W,-0.112
YMR273C,0.147
YLR294C,0.238
YDR012W,-0.217
YCR033W,0.194
YGL215W,0.089
YCR106W,-0.339
YBR054W,-1.041
YCL002C,-0.153
YNL220W,-0.392
YAR075W,-0.159
YBL023C,0.018
YAL044C,0.032
YIL101C,-0.000
YGR247W,0.142
YGL070C,-0.077
YGL143C,0.069
YOR231W,-0.040
YOR304W,0.127
YBR055C,0.057
YBR128C,-0.113
YNL221C,-0.023
YLR367W,0.177
YGR175C,-0.018
YMR274C,-0.087
YLR295C,0.276
YDR013W,-0.204
YGL216W,0.114
YCR034W,-0.062
YCR107W,-0.256
YJR112W,0.233
YAL045C,-0.261
YHR081W,0.135
YHR154W,-0.099
YIL102C,-0.285
YHL050C,-0.002
YGR248W,-0.653
YOR232W,0.008
YGL144C,-0.238
YCR035C,0.186
YOR305W,0.085
YGL217C,-0.190
YBR129C,0.030
YJR113C,0.083
YLR368W,0.096
YHR082C,-0.077
YBL024W,0.068
YOR306C,-0.713
YMR275C,-0.019
YGL071W,0.450
YDR014W,0.173
YBR056W,-0.101
YJR040W,-0.012
YNL222W,0.059
YAL046C,0.064
YIL030C,-0.050
YHR155W,0.077
YGR176W,-0.385
YDR015C,-0.028
YOR160W,-0.073
YGL072C,-0.131
